origin_hdong_cd,dest_hdong_cd,date,start_time,end_time,modal,od_dist_avg,od_duration_avg,od_cnts
1111051500,1156054000,20230909,17:00,18:00,0,9000,24,80
1111051500,1156054000,20230909,18:00,19:00,0,9000,25,100
1111051500,1156054000,20230909,19:00,20:00,0,9000,26,120
1111051500,1156054000,20230909,20:00,21:00,0,9000,25,90
1111051500,1156054000,20230916,17:00,18:00,0,9000,23,90
1111051500,1156054000,20230916,18:00,19:00,0,9000,25,110
1111051500,1156054000,20230916,19:00,20:00,0,9000,27,130
1111051500,1156054000,20230916,20:00,21:00,0,9000,26,100
1111051500,1156054000,20230923,17:00,18:00,0,9000,24,85
1111051500,1156054000,20230923,18:00,19:00,0,9000,24,105
1111051500,1156054000,20230923,19:00,20:00,0,9000,26,125
1111051500,1156054000,20230923,20:00,21:00,0,9000,25,95
1111051500,1156054000,20231007,17:00,18:00,0,9000,27,120
1111051500,1156054000,20231007,18:00,19:00,0,9000,31,190
1111051500,1156054000,20231007,19:00,20:00,0,9000,38,360
1111051500,1156054000,20231007,20:00,21:00,0,9000,45,520
